file,split,label,modify_video,modify_audio,n_fakes,duration,video_frames,audio_channels,audio_frames,original,fake_periods
test/000001.mp4,test,0,0,0,0,4.224,103,1,65536,,[]
test/000000.mp4,test,0,0,0,0,4.672,115,1,72704,,[]
test/000002.mp4,test,1,1,1,1,4.8,116,1,74752,test/000001.mp4,"[[2.5, 3.224]]"
test/000003.mp4,test,1,1,0,1,4.352,105,1,67584,test/000001.mp4,"[[2.5, 2.78]]"
test/000004.mp4,test,1,0,1,1,4.736,114,1,73728,test/000001.mp4,"[[2.5, 3.204]]"
test/000017.mp4,test,1,1,1,1,7.552,186,1,118784,test/000016.mp4,"[[1.7, 2.724]]"
test/000019.mp4,test,1,0,1,1,7.04,173,1,110592,test/000016.mp4,"[[1.7, 2.204]]"
test/000016.mp4,test,0,0,0,0,6.656,164,1,104448,,[]
test/000014.mp4,test,1,1,0,1,7.808,191,1,122880,test/000012.mp4,"[[6.3, 6.58]]"
test/000018.mp4,test,1,1,0,1,6.784,167,1,106496,test/000016.mp4,"[[1.7, 1.9]]"
test/000005.mp4,test,0,0,0,0,13.952,346,1,221184,,[]
test/000013.mp4,test,1,1,1,1,8.256,202,1,130048,test/000012.mp4,"[[6.3, 7.024]]"
test/000015.mp4,test,1,0,1,1,8.192,200,1,129024,test/000012.mp4,"[[6.3, 7.004]]"
test/000012.mp4,test,0,0,0,0,7.68,189,1,120832,,[]
test/000020.mp4,test,0,0,0,0,7.744,191,1,121856,,[]
test/000021.mp4,test,1,1,1,1,8.512,208,1,134144,test/000020.mp4,"[[4.7, 5.604]]"
test/000010.mp4,test,1,1,0,1,14.08,348,1,223232,test/000005.mp4,"[[0.2, 0.68]]"
test/000006.mp4,test,1,1,1,2,13.76,339,1,218112,test/000005.mp4,"[[0.2, 1.194], [10.294, 11.078]]"
test/000011.mp4,test,1,0,1,1,14.336,355,1,227328,test/000005.mp4,"[[0.2, 1.024]]"
test/000008.mp4,test,1,0,1,2,13.76,340,1,218112,test/000005.mp4,"[[0.2, 1.184], [10.284, 11.084]]"
test/000009.mp4,test,1,1,1,1,14.4,357,1,228352,test/000005.mp4,"[[0.2, 1.044]]"
test/000041.mp4,test,1,1,1,1,4.288,105,1,66560,test/000040.mp4,"[[0.4, 1.064]]"
test/000038.mp4,test,1,1,0,1,4.992,122,1,77824,test/000036.mp4,"[[0.3, 0.78]]"
